win,turret_plates,early_roam_kills,first_blood,first_tower,first_dragon,first_rift_herald,void_grubs,min15_kills,min15_deaths,min15_assists,min15_wards_placed,min15_wards_killed,min15_control_wards,min15_cs,min15_cs_diff,min15_xp_diff,history_wr_global,history_wr_champ,racha_previa,is_MMR_check,role_JUNGLE,role_MIDDLE,role_TOP,role_UTILITY,is_flex
0,3,0,1,1,1,0,0,4.0,1.0,3.0,5.0,0.0,1.0,96.0,-6.0,980.0,0.4375,0.5,1,0,0,0,0,0,0
1,6,2,0,1,1,1,3,14.0,3.0,0.0,4.0,2.0,1.0,92.0,37.0,754.0,0.4307692307692308,0.5,-1,0,0,0,0,0,0
0,0,0,0,0,0,0,3,2.0,6.0,1.0,4.0,1.0,0.0,83.0,-19.0,-1529.0,0.4393939393939394,1.0,1,0,0,0,0,0,0
1,2,0,0,0,1,0,0,7.0,2.0,1.0,5.0,1.0,1.0,97.0,22.0,765.0,0.43283582089552236,0.5,-1,0,0,0,0,0,0
0,0,0,0,0,0,1,0,2.0,4.0,1.0,6.0,1.0,2.0,108.0,-18.0,-818.0,0.4411764705882353,1.0,1,0,0,0,0,0,0
1,2,1,1,1,1,1,3,5.0,3.0,1.0,6.0,1.0,2.0,111.0,-9.0,301.0,0.43478260869565216,0.5,-1,0,0,0,0,0,0
1,3,0,0,1,0,1,3,3.0,1.0,2.0,11.0,0.0,1.0,107.0,8.0,-118.0,0.44285714285714284,0.5,1,0,0,0,0,0,0
0,1,0,0,0,1,0,0,6.0,2.0,1.0,8.0,1.0,3.0,89.0,-6.0,-1514.0,0.4507042253521127,0.0,2,0,0,0,0,0,0
0,2,0,0,0,0,0,2,3.0,0.0,1.0,5.0,0.0,1.0,114.0,3.0,261.0,0.4444444444444444,1.0,-1,0,0,0,0,0,0
1,3,0,0,0,0,0,3,7.0,2.0,0.0,8.0,0.0,3.0,100.0,-12.0,456.0,0.4383561643835616,0.5,-2,0,0,0,0,0,0
1,0,1,0,0,1,0,2,4.0,2.0,3.0,7.0,1.0,2.0,98.0,12.0,955.0,0.44594594594594594,0.5,1,0,0,0,1,0,0
1,0,0,1,0,1,1,3,6.0,4.0,1.0,3.0,0.0,1.0,87.0,-16.0,-411.0,0.4533333333333333,1.0,2,0,0,0,1,0,0
1,6,0,1,1,0,1,3,3.0,2.0,2.0,6.0,1.0,1.0,113.0,-8.0,1444.0,0.4605263157894737,0.5,3,1,0,0,0,0,0
1,5,0,1,1,0,1,1,4.0,5.0,2.0,6.0,1.0,2.0,98.0,15.0,677.0,0.4675324675324675,0.5,4,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1.0,2.0,3.0,6.0,0.0,2.0,101.0,-33.0,-1260.0,0.47435897435897434,0.5,5,0,0,0,0,0,0
1,3,0,0,1,0,1,3,2.0,3.0,1.0,6.0,2.0,1.0,116.0,12.0,564.0,0.46835443037974683,0.5,-1,0,0,0,0,0,0
0,0,0,1,0,0,1,3,1.0,3.0,0.0,4.0,0.0,1.0,82.0,-35.0,-653.0,0.475,1.0,1,0,0,0,0,0,0
0,1,0,1,0,0,1,3,1.0,5.0,1.0,2.0,1.0,0.0,75.0,-44.0,-1718.0,0.4691358024691358,1.0,-1,0,0,0,0,0,0
