match_id,queue_id,win,champion,role,game_duration,kills_total,deaths_total,assists_total,lane_minions,jungle_minions,vision_score,wards_placed,wards_killed,control_wards_placed,turret_plates,vision_advantage,control_ward_coverage,early_roam_kills,aces_before_15,first_blood,first_tower,first_dragon,first_rift_herald,void_grubs,min15_kills,min15_deaths,min15_assists,min15_wards_placed,min15_wards_killed,min15_control_wards,min15_gold,min15_cs,min15_gold_diff,min15_cs_diff,min15_xp_diff
LA2_1501090796,440,1,Sejuani,JUNGLE,33.77,7,4,15,26,171,37,7,6,7,0,0.4878578186035156,0.8434169782540952,0,0,1,0,0,1,6,6.0,2.0,4.0,4.0,1.0,4.0,6395.0,88.0,1636.0,0.0,1256.0
LA2_1518730755,420,0,Xayah,BOTTOM,24.47,2,6,1,119,6,8,2,3,0,1,-0.4867703318595886,0.0,0,0,1,0,0,1,3,1.0,5.0,1.0,2.0,1.0,0.0,4235.0,75.0,-2048.0,-44.0,-1718.0
LA2_1525910894,440,1,Thresh,UTILITY,37.02,4,7,20,42,2,80,38,6,7,2,0.488039493560791,0.6082517184275611,0,0,0,1,0,1,3,2.0,2.0,3.0,9.0,0.0,1.0,4303.0,23.0,427.0,3.0,162.0
LA2_1525616240,440,1,Blitzcrank,UTILITY,31.58,2,5,23,21,4,77,38,6,11,2,0.7660989761352539,0.5915951184961462,0,0,1,1,1,0,3,1.0,3.0,3.0,10.0,2.0,3.0,4082.0,19.0,-439.0,-7.0,-640.0
LA2_1505818960,420,1,Yone,TOP,29.98,0,14,1,110,16,11,6,0,0,0,-0.2663677334785461,0.0,0,0,0,0,1,0,0,0.0,8.0,1.0,3.0,0.0,0.0,3724.0,84.0,-2807.0,-28.0,-2988.0
LA2_1527025303,440,0,Sejuani,JUNGLE,29.1,2,8,11,18,140,24,2,5,2,0,-0.0688633918762207,0.8090271962290985,0,0,0,0,1,0,3,1.0,2.0,3.0,2.0,3.0,2.0,4894.0,90.0,-859.0,9.0,-569.0
LA2_1526389394,440,0,Thresh,UTILITY,31.62,6,9,14,36,0,74,37,7,8,0,-0.1443108916282653,0.7503677883408886,0,0,0,0,1,1,0,4.0,3.0,5.0,11.0,3.0,3.0,4910.0,28.0,1044.0,13.0,1010.0
LA2_1526926743,440,1,Blitzcrank,UTILITY,32.18,1,8,21,31,0,90,42,6,7,0,0.2085630893707275,0.614950209564079,0,0,1,0,0,1,3,0.0,3.0,7.0,14.0,2.0,4.0,3848.0,17.0,-692.0,0.0,-485.0
LA2_1516730901,420,1,Varus,BOTTOM,31.18,14,3,6,214,12,17,11,1,2,2,-0.0926929712295532,0.3918674449022564,0,0,0,0,1,0,0,7.0,2.0,1.0,5.0,1.0,1.0,6615.0,97.0,1596.0,22.0,765.0
LA2_1554292822,420,1,Thresh,UTILITY,23.58,2,2,15,16,0,53,25,3,3,0,0.2412618398666381,0.1822048972792711,1,0,1,1,1,0,0,2.0,2.0,6.0,14.0,2.0,2.0,4579.0,15.0,398.0,-15.0,-722.0
LA2_1554122181,420,0,Elise,UTILITY,33.57,7,11,13,35,0,82,35,10,5,3,-0.252064049243927,0.6754394616600545,1,0,1,0,1,0,0,4.0,3.0,5.0,11.0,4.0,3.0,5356.0,22.0,1083.0,-7.0,15.0
LA2_1525485632,440,1,Braum,UTILITY,31.6,2,4,28,31,0,62,36,8,8,2,0.002398133277893,0.6143379601296324,1,0,0,1,0,1,3,1.0,2.0,7.0,10.0,3.0,2.0,4948.0,23.0,680.0,-3.0,125.0
LA2_1524383212,440,1,Vayne,BOTTOM,31.42,10,2,6,214,20,30,11,9,2,1,0.8831319808959961,0.6853640665100427,0,0,1,1,0,1,3,4.0,1.0,3.0,5.0,1.0,1.0,5734.0,105.0,762.0,-18.0,243.0
LA2_1526757911,440,1,Sejuani,JUNGLE,27.65,8,7,13,19,131,15,5,1,5,0,-0.6041734218597412,0.7849363910542064,0,0,1,1,1,1,0,3.0,4.0,2.0,2.0,1.0,2.0,5223.0,77.0,-1410.0,-35.0,-712.0
LA2_1526057558,440,1,Thresh,UTILITY,39.43,3,7,19,31,0,108,52,9,11,2,0.1468346118927002,0.4481776754117046,0,0,0,0,0,0,0,1.0,3.0,5.0,12.0,3.0,3.0,4748.0,18.0,208.0,-6.0,-789.0
LA2_1524593938,440,0,Vayne,BOTTOM,23.62,5,8,7,131,0,11,8,0,0,0,-0.0339714884757995,0.0,0,0,0,0,0,0,0,1.0,5.0,2.0,4.0,0.0,0.0,4232.0,76.0,-3923.0,-59.0,-930.0
LA2_1519010571,420,1,KSante,TOP,26.97,9,3,10,165,4,18,10,2,1,0,-0.4593477845191955,0.3594301989099321,0,0,0,1,0,1,1,5.0,2.0,2.0,5.0,0.0,0.0,5910.0,103.0,1219.0,34.0,2221.0
LA2_1553683910,420,0,Thresh,UTILITY,28.13,2,6,4,21,2,57,25,4,4,0,-0.2426861524581909,0.3410348812205919,0,0,0,1,0,0,3,1.0,1.0,2.0,10.0,0.0,2.0,3733.0,16.0,-160.0,-9.0,-247.0
LA2_1553970963,420,1,Elise,UTILITY,22.22,10,4,4,19,2,38,18,5,4,1,-0.0715768337249755,0.6543094299276218,2,0,0,1,0,1,3,6.0,2.0,3.0,11.0,1.0,3.0,5939.0,16.0,1336.0,-3.0,1460.0
LA2_1526740222,440,0,Thresh,UTILITY,28.27,3,5,5,40,0,71,32,11,5,0,0.0763392448425293,0.7928767049130373,0,0,0,0,1,0,0,2.0,1.0,0.0,12.0,3.0,3.0,3713.0,30.0,-420.0,0.0,299.0
LA2_1552778750,440,1,Sejuani,JUNGLE,35.53,2,5,16,17,195,39,3,7,2,0,0.0463948249816894,0.7766076779699785,0,0,1,1,0,0,3,1.0,3.0,3.0,2.0,0.0,1.0,4766.0,70.0,-1874.0,-35.0,-2023.0
LA2_1527080479,440,0,Ezreal,BOTTOM,27.05,2,6,5,164,0,10,7,1,2,0,-0.5875701904296875,0.0,0,0,0,0,1,0,0,2.0,5.0,1.0,3.0,0.0,0.0,4635.0,89.0,-3045.0,-26.0,-1425.0
LA2_1526530187,440,0,Thresh,UTILITY,28.68,0,5,15,28,0,62,33,5,5,0,-0.1047041416168212,0.7278992322117418,0,0,0,1,1,0,0,0.0,2.0,6.0,13.0,3.0,2.0,3682.0,24.0,-233.0,10.0,-574.0
LA2_1522274439,420,1,Trundle,JUNGLE,20.08,7,2,8,9,110,17,3,1,3,0,-0.0828397870063781,0.7629882677972654,0,0,1,1,1,1,3,3.0,1.0,5.0,3.0,1.0,3.0,5697.0,87.0,227.0,-3.0,51.0
LA2_1518957898,420,0,Trundle,JUNGLE,28.02,2,11,3,20,125,23,10,1,2,2,0.1646574735641479,0.7331043779756824,0,0,1,1,0,0,3,1.0,5.0,0.0,4.0,1.0,1.0,4489.0,76.0,-1561.0,-11.0,-676.0
LA2_1520669392,420,1,Cassiopeia,MIDDLE,29.25,8,5,7,189,4,31,11,7,2,1,0.259513258934021,0.7148194789136267,0,0,0,1,1,0,3,1.0,1.0,4.0,6.0,2.0,1.0,5205.0,116.0,278.0,7.0,251.0
LA2_1527048075,440,0,Ezreal,BOTTOM,30.1,4,1,5,213,0,24,12,4,2,0,-0.0184422135353088,0.0,0,0,1,0,0,0,3,1.0,0.0,3.0,5.0,2.0,1.0,4898.0,110.0,-729.0,-4.0,-421.0
LA2_1525477694,440,1,Braum,UTILITY,29.33,2,6,17,30,0,62,26,9,4,0,-0.2045756578445434,0.2566637382948348,0,0,0,0,0,0,3,0.0,2.0,6.0,12.0,5.0,2.0,4248.0,23.0,-216.0,2.0,328.0
LA2_1525137564,440,0,Sejuani,JUNGLE,33.4,1,4,7,16,152,31,5,5,5,0,0.1277693510055542,0.6803752833185309,0,0,0,0,1,0,0,1.0,0.0,5.0,1.0,2.0,1.0,5053.0,83.0,199.0,-22.0,-420.0
LA2_1554466814,420,1,Thresh,UTILITY,28.17,1,5,16,32,0,65,30,10,5,1,-0.1430415511131286,0.4898488650304573,0,0,1,0,0,1,0,1.0,1.0,6.0,7.0,4.0,2.0,4392.0,25.0,114.0,7.0,449.0
LA2_1524731617,440,1,Trundle,JUNGLE,30.02,7,5,16,11,151,20,4,3,4,2,-0.1656667590141296,0.5515433629895845,0,0,1,1,1,1,0,1.0,2.0,7.0,1.0,1.0,1.0,4991.0,79.0,116.0,-11.0,179.0
LA2_1520003669,420,1,Pantheon,JUNGLE,17.2,2,1,4,16,98,14,3,1,3,2,0.6178842782974243,0.6665734273528638,0,0,1,1,0,1,3,2.0,1.0,4.0,3.0,1.0,3.0,5878.0,95.0,447.0,18.0,1354.0
LA2_1520195703,420,1,Ahri,MIDDLE,30.08,15,2,7,211,4,29,15,4,2,4,0.10834801197052,0.618935165728244,2,0,0,1,1,0,3,4.0,0.0,2.0,6.0,1.0,1.0,6424.0,117.0,1631.0,11.0,1995.0
LA2_1525833085,440,0,Blitzcrank,UTILITY,27.13,0,3,18,20,0,75,34,9,9,0,1.2019615173339844,0.7560834549663448,0,0,1,0,1,1,3,0.0,2.0,8.0,13.0,2.0,4.0,3740.0,11.0,-122.0,-16.0,-1041.0
LA2_1552598575,440,1,JarvanIV,JUNGLE,39.7,2,10,25,21,116,33,8,5,8,0,0.2216747999191284,0.7791700135721888,0,0,0,0,1,1,3,1.0,4.0,4.0,2.0,0.0,2.0,4314.0,60.0,-1529.0,-30.0,-966.0
LA2_1518947646,420,0,Trundle,JUNGLE,29.25,6,6,10,40,130,34,5,6,3,1,0.1743248701095581,0.2386863496353739,0,0,1,0,1,0,2,2.0,2.0,5.0,3.0,3.0,1.0,5258.0,85.0,-882.0,3.0,-328.0
LA2_1554101114,420,1,Elise,UTILITY,23.2,6,5,10,24,0,51,22,3,3,2,0.5696511268615723,0.5713482183815352,1,0,0,1,0,1,3,4.0,3.0,5.0,13.0,1.0,1.0,5300.0,21.0,-654.0,-16.0,-1938.0
LA2_1516715791,420,1,Vayne,BOTTOM,27.47,21,4,2,162,36,22,9,3,2,6,0.599364161491394,0.7420417955288856,2,0,0,1,1,1,3,14.0,3.0,0.0,4.0,2.0,1.0,8862.0,92.0,4331.0,37.0,754.0
LA2_1522246780,420,0,Leblanc,MIDDLE,24.2,6,2,4,153,0,20,11,1,3,0,0.3601667881011963,0.7130529379610006,2,0,0,0,0,0,0,5.0,2.0,1.0,7.0,1.0,2.0,5690.0,91.0,-249.0,-18.0,-1285.0
LA2_1552633784,440,1,Sejuani,JUNGLE,39.93,6,6,32,26,201,52,6,12,6,0,0.0177408456802368,0.8733901216093013,0,0,0,0,0,1,3,4.0,2.0,5.0,2.0,2.0,2.0,6264.0,88.0,-1700.0,-17.0,-375.0
LA2_1523538017,440,1,Vayne,BOTTOM,31.15,9,1,4,210,15,26,12,5,2,1,-0.1245943307876586,0.4769897302889674,0,0,0,1,1,0,3,2.0,0.0,2.0,5.0,1.0,1.0,5557.0,112.0,1189.0,18.0,1220.0
LA2_1552576190,440,1,JarvanIV,JUNGLE,32.78,3,1,22,33,171,32,6,6,5,1,0.4515912532806396,0.6240401822375036,0,0,0,1,0,0,3,1.0,0.0,7.0,2.0,1.0,1.0,5230.0,86.0,1.0,-4.0,331.0
LA2_1523463142,440,0,Trundle,JUNGLE,34.13,3,5,12,27,167,31,7,7,7,0,0.482629656791687,0.7654939488888872,0,0,1,1,0,1,3,0.0,2.0,6.0,2.0,2.0,2.0,4903.0,93.0,-708.0,3.0,4.0
LA2_1526691232,440,0,Thresh,UTILITY,21.57,1,9,8,26,4,45,17,7,5,0,-0.2361024022102356,0.7379245268573579,1,0,0,1,1,1,2,1.0,4.0,4.0,12.0,3.0,4.0,4020.0,24.0,-271.0,-1.0,-701.0
LA2_1518912246,420,0,Shyvana,JUNGLE,41.58,14,7,8,158,197,43,6,7,5,2,0.6163942813873291,0.8611082049728962,0,0,0,1,0,0,1,4.0,1.0,1.0,5.0,2.0,4.0,6545.0,116.0,1253.0,13.0,-307.0
LA2_1515650037,420,0,Vi,JUNGLE,29.03,4,6,17,21,130,26,3,7,3,4,-0.3970297574996948,0.5518116523166555,0,0,1,1,0,1,3,1.0,3.0,6.0,2.0,2.0,2.0,5524.0,82.0,-505.0,-40.0,-1353.0
LA2_1554448099,420,0,Thresh,UTILITY,24.67,3,10,8,11,0,39,24,1,5,2,-0.2270653247833252,0.7667460879785989,0,0,1,0,1,0,1,3.0,6.0,4.0,14.0,0.0,3.0,5211.0,9.0,263.0,-3.0,251.0
LA2_1520106944,420,1,Ahri,MIDDLE,18.32,6,2,5,121,0,10,9,1,3,2,-0.3536829352378845,0.2826572298854816,1,0,1,1,0,1,0,3.0,2.0,4.0,6.0,1.0,2.0,5748.0,99.0,660.0,-16.0,713.0
LA2_1524860656,440,1,Sejuani,JUNGLE,29.58,4,4,14,28,157,27,5,5,5,0,-0.043303906917572,0.7268161215772528,0,0,1,1,0,1,3,1.0,4.0,4.0,3.0,4.0,3.0,4851.0,77.0,-479.0,-26.0,-1397.0
LA2_1518923297,420,1,Trundle,JUNGLE,34.95,7,4,10,63,199,27,5,3,3,4,0.103885531425476,0.6841987004596298,0,0,0,1,1,1,0,0.0,1.0,2.0,3.0,1.0,1.0,5226.0,104.0,-662.0,2.0,-199.0
LA2_1526997759,440,1,Thresh,UTILITY,34.77,2,8,24,25,0,97,50,6,9,0,0.3466371297836303,0.5170923151019371,0,0,0,1,0,1,3,1.0,7.0,5.0,11.0,2.0,1.0,4070.0,18.0,-1567.0,6.0,-1530.0
LA2_1526396872,440,1,Sejuani,JUNGLE,32.83,5,2,14,37,187,28,5,4,5,0,-0.3450098633766174,0.6861252017299184,0,0,1,1,1,1,3,1.0,1.0,4.0,2.0,1.0,2.0,4973.0,91.0,480.0,-10.0,-508.0
LA2_1525770973,440,1,Thresh,UTILITY,31.13,1,4,13,25,2,70,29,5,4,0,0.6647436618804932,0.6906643634247362,0,0,0,1,0,1,3,1.0,1.0,3.0,10.0,1.0,1.0,3836.0,21.0,281.0,2.0,-44.0
LA2_1526042538,440,1,Thresh,UTILITY,44.1,2,4,16,33,0,136,75,5,17,0,0.0493278503417968,0.8610654284697158,0,0,0,1,0,0,0,0.0,1.0,3.0,14.0,0.0,3.0,3482.0,22.0,-414.0,-4.0,0.0
LA2_1518589491,420,0,Vayne,BOTTOM,29.73,1,7,6,180,4,17,13,1,4,0,-0.3388192653656006,0.5502620534211359,0,0,0,0,0,0,0,1.0,2.0,3.0,6.0,0.0,2.0,4733.0,101.0,-3349.0,-33.0,-1260.0
LA2_1500983836,440,0,Sejuani,JUNGLE,47.12,4,7,19,46,183,41,8,1,8,0,0.1329621076583862,0.8691951559093299,0,0,0,1,0,0,6,2.0,0.0,5.0,4.0,0.0,4.0,5243.0,87.0,968.0,18.0,1141.0
LA2_1510534048,440,1,Sejuani,JUNGLE,32.45,5,3,20,44,160,28,6,3,2,0,-0.0398411154747009,0.5364979358093577,0,0,0,0,0,1,3,4.0,2.0,6.0,4.0,1.0,0.0,5855.0,91.0,-259.0,-7.0,-439.0
LA2_1526295889,440,0,Thresh,UTILITY,31.4,3,5,12,42,0,80,33,10,6,0,0.0598328113555908,0.8572263967530384,0,0,1,0,0,1,3,2.0,0.0,5.0,10.0,2.0,3.0,4235.0,30.0,1057.0,10.0,737.0
LA2_1526887342,440,0,Thresh,UTILITY,49.43,2,11,24,48,4,166,84,16,15,0,0.2075930833816528,0.7623957692145519,0,0,1,0,1,0,0,1.0,1.0,4.0,12.0,2.0,2.0,3786.0,31.0,275.0,0.0,67.0
LA2_1526939589,440,1,Leona,UTILITY,33.58,2,2,26,37,2,89,31,16,7,0,-0.0121822953224182,0.703540802661774,0,0,0,0,1,1,3,2.0,0.0,4.0,11.0,5.0,2.0,4251.0,23.0,682.0,3.0,50.0
